Date,Close,Open,High,Low,Volume,Change
1980-03-17,0.39,0.39,0.42,0.39,63830.0,-0.9945999999999999
1980-03-18,0.38,0.38,0.41,0.38,36950.0,-0.0256
1980-03-19,0.41,0.41,0.44,0.41,188130.0,0.0789
1980-03-20,0.4,0.4,0.43,0.4,47070.0,-0.024399999999999998
1980-03-21,0.39,0.39,0.42,0.39,100780.0,-0.025
1980-03-24,0.38,0.38,0.41,0.38,26910.0,-0.0256
1980-03-25,0.37,0.37,0.4,0.37,23520.0,-0.0263
1980-03-26,0.37,0.37,0.4,0.37,36950.0,0.0
1980-03-27,0.34,0.34,0.37,0.34,90700.0,-0.08109999999999999
1980-03-28,0.34,0.34,0.37,0.34,47070.0,0.0
1980-03-31,0.35,0.35,0.37,0.35,20160.0,0.0294
1980-04-01,0.35,0.35,0.37,0.35,26910.0,0.0
1980-04-02,0.37,0.37,0.39,0.37,67190.0,0.0571
1980-04-03,0.35,0.35,0.38,0.35,164650.0,-0.0541
1980-04-07,0.34,0.34,0.37,0.34,77270.0,-0.0286
1980-04-08,0.33,0.33,0.36,0.33,33630.0,-0.0294
1980-04-09,0.34,0.34,0.37,0.34,10110.0,0.030299999999999997
1980-04-10,0.34,0.34,0.37,0.34,33630.0,0.0
1980-04-11,0.34,0.34,0.37,0.34,33630.0,0.0
1980-04-14,0.34,0.34,0.37,0.34,6750.0,0.0
1980-04-15,0.34,0.34,0.37,0.34,3390.0,0.0
1980-04-16,0.34,0.34,0.37,0.34,6750.0,0.0
1980-04-17,0.34,0.34,0.37,0.34,104180.0,0.0
1980-04-18,0.34,0.34,0.37,0.34,16830.0,0.0
1980-04-22,0.34,0.34,0.37,0.34,20160.0,0.0
1980-04-23,0.34,0.34,0.37,0.34,13440.0,0.0
1980-04-24,0.35,0.35,0.37,0.35,94060.0,0.0294
1980-04-25,0.35,0.35,0.37,0.35,53780.0,0.0
1980-04-28,0.35,0.35,0.37,0.35,16830.0,0.0
1980-04-29,0.35,0.35,0.37,0.35,83990.0,0.0
1980-04-30,0.35,0.35,0.37,0.35,20160.0,0.0
1980-05-01,0.35,0.35,0.37,0.35,6750.0,0.0
1980-05-02,0.35,0.35,0.37,0.35,16830.0,0.0
1980-05-05,0.35,0.35,0.37,0.35,23520.0,0.0
1980-05-06,0.35,0.35,0.38,0.35,120970.0,0.0
1980-05-07,0.36,0.36,0.39,0.36,13440.0,0.0286
1980-05-08,0.36,0.36,0.39,0.36,201570.0,0.0
1980-05-09,0.36,0.36,0.39,0.36,107500.0,0.0
1980-05-12,0.36,0.36,0.39,0.36,26910.0,0.0
1980-05-13,0.38,0.38,0.41,0.38,332620.0,0.0556
1980-05-14,0.39,0.39,0.42,0.39,238550.0,0.0263
1980-05-15,0.39,0.39,0.42,0.39,10110.0,0.0
1980-05-16,0.39,0.39,0.42,0.39,26910.0,0.0
1980-05-20,0.37,0.37,0.4,0.37,164650.0,-0.0513
1980-05-22,0.37,0.37,0.4,0.37,20160.0,0.0
1980-05-23,0.37,0.37,0.4,0.37,50430.0,0.0
1980-05-27,0.37,0.37,0.4,0.37,6750.0,0.0
1980-05-29,0.38,0.38,0.41,0.38,100780.0,0.027000000000000003
1980-05-30,0.38,0.38,0.41,0.38,40350.0,0.0
1980-06-02,0.38,0.38,0.41,0.38,33630.0,0.0
1980-06-03,0.38,0.38,0.41,0.38,13440.0,0.0
1980-06-04,0.38,0.38,0.41,0.38,36950.0,0.0
1980-06-05,0.38,0.38,0.41,0.38,33630.0,0.0
1980-06-06,0.38,0.38,0.41,0.38,60500.0,0.0
1980-06-09,0.38,0.38,0.41,0.38,43670.0,0.0
1980-06-11,0.39,0.39,0.42,0.39,144490.0,0.0263
1980-06-12,0.4,0.4,0.43,0.4,147850.0,0.0256
1980-06-13,0.4,0.4,0.43,0.4,20160.0,0.0
1980-06-17,0.4,0.4,0.43,0.4,20160.0,0.0
1980-06-18,0.4,0.4,0.43,0.4,134410.0,0.0
1980-06-19,0.4,0.4,0.43,0.4,47070.0,0.0
1980-06-20,0.4,0.4,0.43,0.4,10110.0,0.0
1980-06-23,0.4,0.4,0.43,0.4,127690.0,0.0
1980-06-24,0.4,0.4,0.43,0.4,57110.0,0.0
1980-06-25,0.41,0.41,0.44,0.41,73940.0,0.025
1980-06-26,0.41,0.41,0.44,0.41,43990.0,0.0
1980-06-27,0.41,0.41,0.44,0.41,15700.0,0.0
1980-06-30,0.4,0.4,0.43,0.4,12590.0,-0.024399999999999998
1980-07-02,0.4,0.4,0.43,0.4,3140.0,0.0
1980-07-03,0.4,0.4,0.43,0.4,128759.99999999999,0.0
1980-07-07,0.41,0.41,0.42,0.41,166430.0,0.025
1980-07-08,0.41,0.41,0.43,0.41,213500.0,0.0
1980-07-09,0.43,0.43,0.44,0.43,357950.0,0.048799999999999996
1980-07-10,0.43,0.43,0.44,0.43,6310.0,0.0
1980-07-11,0.42,0.42,0.44,0.42,113090.0,-0.0233
1980-07-14,0.42,0.42,0.44,0.42,28260.0,0.0
1980-07-15,0.42,0.42,0.43,0.42,31430.0,0.0
1980-07-16,0.42,0.42,0.43,0.42,65930.0,0.0
1980-07-18,0.41,0.41,0.43,0.41,69100.0,-0.023799999999999998
1980-07-21,0.41,0.41,0.43,0.41,31430.0,0.0
1980-07-22,0.41,0.41,0.43,0.41,84770.0,0.0
1980-07-23,0.41,0.41,0.42,0.41,185270.0,0.0
1980-07-24,0.41,0.41,0.42,0.41,191550.0,0.0
1980-07-25,0.41,0.41,0.42,0.41,141320.0,0.0
1980-07-28,0.41,0.41,0.42,0.41,81660.0,0.0
1980-07-29,0.41,0.41,0.42,0.41,210390.0,0.0
1980-07-30,0.41,0.41,0.42,0.41,169570.0,0.0
1980-07-31,0.41,0.41,0.42,0.41,75350.0,0.0
1980-08-01,0.41,0.41,0.42,0.41,59650.0,0.0
1980-08-04,0.41,0.41,0.42,0.41,47090.0,0.0
1980-08-05,0.41,0.41,0.42,0.41,109890.0,0.0
1980-08-06,0.41,0.41,0.42,0.41,62820.0,0.0
1980-08-07,0.41,0.41,0.42,0.41,21980.0,0.0
1980-08-08,0.41,0.41,0.41,0.41,15700.0,0.0
1980-08-11,0.41,0.41,0.42,0.41,405050.0,0.0
1980-08-12,0.41,0.41,0.42,0.41,18870.0,0.0
1980-08-13,0.41,0.41,0.42,0.41,106780.0,0.0
1980-08-14,0.41,0.41,0.42,0.41,298300.0,0.0
1980-08-15,0.41,0.41,0.42,0.41,59650.0,0.0
1980-08-18,0.41,0.41,0.42,0.41,106780.0,0.0
1980-08-19,0.41,0.41,0.42,0.41,37710.0,0.0
1980-08-21,0.41,0.41,0.42,0.41,65930.0,0.0
