Date,Close,Open,High,Low,Volume,Change
1980-03-17,0.78,0.78,0.83,0.78,48000.0,-0.9945
1980-03-18,0.77,0.77,0.81,0.77,28800.0,-0.0128
1980-03-19,0.78,0.78,0.83,0.78,22400.0,0.013000000000000001
1980-03-20,0.77,0.77,0.81,0.77,14400.0,-0.0128
1980-03-21,0.77,0.77,0.81,0.77,17600.0,0.0
1980-03-24,0.77,0.77,0.81,0.77,41600.0,0.0
1980-03-25,0.75,0.75,0.8,0.75,16000.0,-0.026000000000000002
1980-03-26,0.75,0.75,0.8,0.75,38400.0,0.0
1980-03-27,0.69,0.69,0.73,0.69,65600.0,-0.08
1980-03-28,0.7,0.7,0.75,0.7,46400.0,0.014499999999999999
1980-03-31,0.73,0.73,0.78,0.73,22400.0,0.0429
1980-04-01,0.72,0.72,0.77,0.72,33600.0,-0.0137
1980-04-02,0.72,0.72,0.77,0.72,16000.0,0.0
1980-04-03,0.72,0.72,0.77,0.72,9600.0,0.0
1980-04-07,0.72,0.72,0.77,0.72,11200.0,0.0
1980-04-08,0.7,0.7,0.75,0.7,72000.0,-0.0278
1980-04-09,0.73,0.73,0.78,0.73,27200.0,0.0429
1980-04-10,0.78,0.78,0.83,0.78,115200.0,0.06849999999999999
1980-04-11,0.8,0.8,0.84,0.8,83200.0,0.0256
1980-04-14,0.78,0.78,0.83,0.78,38400.0,-0.025
1980-04-15,0.77,0.77,0.81,0.77,94400.0,-0.0128
1980-04-16,0.77,0.77,0.81,0.77,51200.0,0.0
1980-04-17,0.77,0.77,0.81,0.77,46400.0,0.0
1980-04-18,0.77,0.77,0.81,0.77,64000.0,0.0
1980-04-21,0.77,0.77,0.81,0.77,36800.0,0.0
1980-04-22,0.78,0.78,0.83,0.78,12800.0,0.013000000000000001
1980-04-23,0.77,0.77,0.81,0.77,20800.0,-0.0128
1980-04-24,0.77,0.77,0.81,0.77,3200.0,0.0
1980-04-25,0.75,0.75,0.8,0.75,62400.0,-0.026000000000000002
1980-04-28,0.78,0.78,0.83,0.78,27200.0,0.04
1980-04-29,0.77,0.77,0.81,0.77,60800.0,-0.0128
1980-04-30,0.77,0.77,0.81,0.77,60800.0,0.0
1980-05-01,0.75,0.75,0.8,0.75,32000.0,-0.026000000000000002
1980-05-02,0.73,0.73,0.78,0.73,32000.0,-0.026699999999999998
1980-05-05,0.73,0.73,0.78,0.73,44800.0,0.0
1980-05-06,0.72,0.72,0.77,0.72,8000.0,-0.0137
1980-05-07,0.8,0.8,0.84,0.8,192000.0,0.11109999999999999
1980-05-08,0.8,0.8,0.84,0.8,83200.0,0.0
1980-05-09,0.8,0.8,0.84,0.8,30400.0,0.0
1980-05-12,0.8,0.8,0.84,0.8,14400.0,0.0
1980-05-13,0.81,0.81,0.86,0.81,16000.0,0.0125
1980-05-14,0.81,0.81,0.86,0.81,91200.0,0.0
1980-05-15,0.81,0.81,0.86,0.81,52800.0,0.0
1980-05-16,0.81,0.81,0.86,0.81,35200.0,0.0
1980-05-19,0.8,0.8,0.84,0.8,32000.0,-0.0123
1980-05-20,0.8,0.8,0.84,0.8,20800.0,0.0
1980-05-21,0.8,0.8,0.84,0.8,28800.0,0.0
1980-05-22,0.8,0.8,0.84,0.8,344000.0,0.0
1980-05-23,0.8,0.8,0.84,0.8,28800.0,0.0
1980-05-27,0.81,0.81,0.86,0.81,43200.0,0.0125
1980-05-28,0.81,0.81,0.86,0.81,49600.0,0.0
1980-05-29,0.8,0.8,0.84,0.8,25600.0,-0.0123
1980-05-30,0.8,0.8,0.84,0.8,11200.0,0.0
1980-06-02,0.8,0.8,0.84,0.8,25600.0,0.0
1980-06-03,0.81,0.81,0.86,0.81,96000.0,0.0125
1980-06-04,0.83,0.83,0.88,0.83,155200.0,0.024700000000000003
1980-06-05,0.83,0.83,0.88,0.83,32000.0,0.0
1980-06-06,0.81,0.81,0.86,0.81,49600.0,-0.0241
1980-06-09,0.81,0.81,0.86,0.81,41600.0,0.0
1980-06-10,0.81,0.81,0.86,0.81,11200.0,0.0
