Date,Close,Open,High,Low,Volume,Change
2021-01-29,44.0,47.0,48.31,41.88,8510000.0,-0.033
2021-02-01,49.0,44.14,49.9,44.03,4050000.0,0.11359999999999999
2021-02-02,51.25,50.0,54.1,49.51,2920000.0,0.045899999999999996
2021-02-03,53.5,52.47,53.53,51.06,6590000.0,0.043899999999999995
2021-02-04,54.9,54.99,57.2,53.65,1930000.0,0.0262
2021-02-05,55.24,56.0,56.98,54.51,5070000.0,0.0062
2021-02-08,50.5,54.87,54.94,50.5,2220000.0,-0.0858
2021-02-09,48.29,50.96,51.78,46.63,2650000.0,-0.0438
2021-02-10,46.0,49.65,49.82,45.59,1970000.0,-0.047400000000000005
2021-02-11,46.11,47.2,47.9,45.0,1750000.0,0.0024
2021-02-12,45.36,46.0,46.95,45.08,1370000.0,-0.0163
2021-02-16,45.24,45.96,46.04,44.1,1430000.0,-0.0026
2021-02-17,44.35,44.37,45.85,43.28,1830000.0,-0.0197
2021-02-18,44.63,43.61,45.64,41.4,2460000.0,0.0063
2021-02-19,45.09,44.99,45.2,43.21,1510000.0,0.0103
2021-02-22,45.6,45.48,46.7,44.61,1360000.0,0.0113
2021-02-23,43.24,43.58,43.9,39.58,2520000.0,-0.0518
2021-02-24,42.51,43.34,44.48,42.3,1110000.0,-0.0169
2021-02-25,39.9,42.2,42.31,39.0,2049999.9999999998,-0.061399999999999996
2021-02-26,38.0,39.82,40.37,37.35,1640000.0,-0.047599999999999996
2021-03-01,39.3,39.5,40.83,38.57,1840000.0,0.0342
2021-03-02,36.88,39.27,39.3,36.65,2230000.0,-0.0616
2021-03-03,34.68,36.5,36.5,33.9,2049999.9999999998,-0.059699999999999996
2021-03-04,33.57,34.16,34.5,31.7,2600000.0,-0.032
2021-03-05,34.51,33.91,34.9,32.92,1770000.0,0.027999999999999997
2021-03-08,34.6,34.5,35.82,33.61,1420000.0,0.0026
2021-03-09,37.14,35.2,38.5,35.0,2180000.0,0.07339999999999999
2021-03-10,37.49,35.84,39.69,34.89,2560000.0,0.009399999999999999
2021-03-11,35.95,38.28,39.12,35.66,1690000.0,-0.041100000000000005
2021-03-12,37.83,35.9,38.68,35.25,1050000.0,0.052300000000000006
2021-03-15,37.09,37.55,37.87,36.65,868130.0,-0.0196
2021-03-16,36.01,37.0,37.0,35.27,804620.0,-0.0291
2021-03-17,35.41,35.06,35.77,34.6,1340000.0,-0.0167
2021-03-18,34.6,34.95,35.72,34.5,1550000.0,-0.0229
2021-03-19,33.76,34.47,34.94,33.25,2860000.0,-0.024300000000000002
2021-03-22,34.82,34.28,35.97,33.95,1260000.0,0.031400000000000004
2021-03-23,34.71,34.81,35.5,34.33,1100000.0,-0.0032
2021-03-24,32.41,34.72,34.72,32.08,1230000.0,-0.0663
2021-03-25,32.96,32.12,33.12,31.39,1140000.0,0.017
2021-03-26,33.0,33.01,33.53,32.32,631230.0,0.0012
2021-03-29,33.79,32.83,35.07,32.4,1130000.0,0.0239
2021-03-30,33.9,33.6,35.51,32.91,598760.0,0.0033
2021-03-31,32.91,34.5,34.5,32.71,1000000.0,-0.0292
2021-04-01,32.43,33.2,33.91,32.16,1060000.0,-0.0146
2021-04-05,31.55,32.9,32.9,31.41,2020000.0,-0.0271
2021-04-06,32.62,32.05,33.25,31.45,2140000.0,0.0339
2021-04-07,31.94,32.04,32.09,31.45,1290000.0,-0.0208
2021-04-08,32.6,32.07,32.87,31.75,681760.0,0.0207
2021-04-09,32.08,32.25,32.25,31.65,552390.0,-0.016
2021-04-12,31.16,31.9,31.92,30.5,1310000.0,-0.0287
2021-04-13,32.26,31.49,32.5,31.0,1320000.0,0.0353
2021-04-14,32.75,32.61,33.69,32.39,2190000.0,0.0152
2021-04-15,33.4,33.27,33.5,32.79,779120.0,0.019799999999999998
2021-04-16,33.99,33.64,34.11,32.36,1890000.0,0.0177
2021-04-19,33.56,33.63,34.1,33.17,754970.0,-0.0127
2021-04-20,33.84,33.1,33.96,32.53,869820.0,0.0083
2021-04-21,33.82,33.84,35.08,32.9,3090000.0,-0.0006
2021-04-22,41.5,39.35,42.76,37.64,10360000.0,0.2271
2021-04-23,40.64,40.74,42.17,39.91,2440000.0,-0.0207
2021-04-26,41.02,40.82,43.51,40.52,2330000.0,0.009399999999999999
2021-04-27,41.76,41.0,42.09,40.2,1300000.0,0.018000000000000002
2021-04-28,41.85,41.64,42.97,41.06,1190000.0,0.0022
2021-04-29,38.59,41.5,41.5,38.26,2020000.0,-0.0779
2021-04-30,37.35,38.1,38.9,37.2,1740000.0,-0.0321
2021-05-03,35.98,37.8,37.97,35.68,1330000.0,-0.036699999999999997
2021-05-04,37.02,35.6,37.13,34.4,2590000.0,0.028900000000000002
2021-05-05,35.44,37.35,37.36,34.88,1440000.0,-0.042699999999999995
2021-05-06,35.74,34.95,35.83,33.66,1320000.0,0.0085
2021-05-07,35.61,35.98,37.28,35.25,4200000.0,-0.0036
2021-05-10,34.0,35.11,35.17,33.91,2990000.0,-0.0452
