Date,Close,Open,High,Low,Volume,Change
2020-04-06,24.39,24.69,26.14,23.5,213140.0,0.0513
2020-04-07,23.75,24.76,25.33,22.0,289800.0,-0.0262
2020-04-08,24.8,23.99,26.49,23.25,274440.0,0.044199999999999996
2020-04-09,24.31,25.25,26.34,24.25,69720.0,-0.019799999999999998
2020-04-13,23.9,24.5,25.1,23.81,88740.0,-0.0169
2020-04-14,25.12,24.04,26.39,23.28,238190.0,0.051
2020-04-15,24.48,24.89,25.84,23.9,205470.0,-0.0255
2020-04-16,24.38,24.48,25.84,24.0,131009.99999999999,-0.0040999999999999995
2020-04-17,24.56,24.4,25.44,24.13,264290.0,0.0074
2020-04-20,24.12,24.61,25.3,24.03,529720.0,-0.0179
2020-04-21,25.56,24.39,25.73,23.5,259790.00000000003,0.059699999999999996
2020-04-22,26.79,25.82,27.0,25.0,117960.0,0.0481
2020-04-23,28.45,26.59,29.33,26.02,110680.0,0.062
2020-04-24,30.5,28.51,30.78,28.3,155230.0,0.0721
2020-04-27,31.76,31.0,32.8,30.7,89370.0,0.041299999999999996
2020-04-28,35.57,33.72,35.57,32.17,198780.0,0.12
2020-04-29,36.16,36.42,37.43,35.3,187670.0,0.0166
2020-04-30,35.1,35.57,36.5,34.28,233950.0,-0.029300000000000003
2020-05-01,31.29,34.33,35.39,30.77,318090.0,-0.1085
2020-05-04,31.93,30.56,31.97,28.01,161300.0,0.020499999999999997
2020-05-05,33.26,31.21,34.57,30.28,192100.0,0.0417
2020-05-06,32.98,33.63,33.63,31.26,230080.0,-0.0084
2020-05-07,31.93,32.98,34.31,31.5,253520.0,-0.0318
2020-05-08,33.27,32.15,33.82,31.82,127230.0,0.042
2020-05-11,34.5,32.63,38.03,32.63,325630.0,0.037000000000000005
2020-05-12,35.64,34.7,37.13,34.55,172320.0,0.033
2020-05-13,36.5,36.07,38.99,34.96,273990.0,0.0241
2020-05-14,37.96,36.87,38.97,35.17,139010.0,0.04
2020-05-15,35.87,38.54,41.5,35.82,171260.0,-0.055099999999999996
2020-05-18,39.65,37.5,40.44,36.4,116080.0,0.1054
2020-05-19,44.66,39.53,44.8,37.49,196720.0,0.1264
2020-05-20,41.07,45.26,48.61,37.54,305780.0,-0.08039999999999999
2020-05-21,40.04,41.05,42.45,39.34,86930.0,-0.025099999999999997
2020-05-22,39.07,40.29,41.38,37.69,162380.0,-0.0242
2020-05-26,39.64,40.13,40.88,39.17,88660.0,0.0146
2020-05-27,41.72,39.98,42.38,38.88,105740.0,0.0525
2020-05-28,41.3,41.93,43.09,40.72,164010.0,-0.0101
2020-05-29,52.22,41.56,52.43,39.61,338280.0,0.2644
2020-06-01,49.35,52.0,52.43,45.33,278840.0,-0.055
2020-06-02,51.46,48.75,51.94,45.85,124830.0,0.042800000000000005
2020-06-03,50.81,51.45,52.08,47.44,202180.0,-0.0126
2020-06-04,48.49,49.36,52.3,46.83,165530.0,-0.045700000000000005
2020-06-05,45.6,48.13,50.15,43.61,199070.0,-0.0596
2020-06-08,47.14,45.67,49.96,45.67,128780.0,0.0338
2020-06-09,49.38,47.4,51.23,47.4,196800.0,0.0475
2020-06-10,45.93,49.15,49.75,45.54,131230.0,-0.0699
2020-06-11,41.07,44.26,45.25,41.03,168420.0,-0.1058
2020-06-12,41.95,41.9,45.02,41.64,198100.0,0.021400000000000002
2020-06-15,46.88,41.95,47.62,41.95,237410.0,0.1175
2020-06-16,47.27,47.81,51.2,44.55,161800.0,0.0083
2020-06-17,52.25,47.55,54.2,47.44,321020.0,0.1054
2020-06-18,52.1,51.6,54.89,51.24,236410.0,-0.0029
2020-06-19,53.12,51.98,55.82,50.04,1060000.0,0.0196
2020-06-22,48.41,52.61,53.87,47.02,329540.0,-0.08869999999999999
2020-06-23,49.25,48.17,51.22,48.17,395700.0,0.0174
2020-06-24,51.57,49.01,53.22,49.01,290290.0,0.0471
2020-06-25,54.8,51.73,59.32,50.02,284000.0,0.0626
2020-06-26,47.85,55.25,57.59,47.83,1450000.0,-0.1268
2020-06-29,45.47,48.49,48.49,45.26,119770.0,-0.049699999999999994
2020-06-30,48.02,45.59,48.81,44.47,285470.0,0.056100000000000004
2020-07-01,47.8,48.19,49.41,46.12,161050.0,-0.0046
2020-07-02,47.97,48.51,48.98,46.0,78060.0,0.0036
2020-07-06,44.09,47.97,47.97,43.75,190030.0,-0.0809
2020-07-07,42.65,43.62,43.92,42.08,107410.0,-0.0327
2020-07-08,42.54,42.96,43.84,40.38,135380.0,-0.0026
2020-07-09,41.13,42.62,44.76,40.61,96630.0,-0.0331
